,Car Coord X,Car Coord Y
797,262.0625,-76.25
798,262.175,-76.21666666666667
799,262.275,-76.18333333333334
800,262.38750000000005,-76.16666666666667
801,262.4875,-76.16666666666667
802,262.57500000000005,-76.16666666666667
803,262.6625,-76.18333333333334
804,262.75,-76.21666666666667
805,262.82500000000005,-76.23333333333335
806,262.88750000000005,-76.26666666666667
807,262.95000000000005,-76.31666666666666
808,263.0,-76.35000000000001
809,263.05,-76.4
810,263.07500000000005,-76.45
811,263.1,-76.51666666666667
812,263.1125,-76.56666666666666
813,263.1125,-76.63333333333334
814,263.1125,-76.68333333333334
815,263.1,-76.75
816,263.07500000000005,-76.80000000000001
817,263.0375,-76.85000000000001
818,263.0,-76.9
819,262.95000000000005,-76.93333333333334
820,262.925,-76.96666666666667
821,262.9,-77.0
822,262.875,-77.01666666666667
823,262.8625,-77.01666666666667
824,262.8375,-77.01666666666667
825,262.82500000000005,-77.01666666666667
826,262.8,-77.01666666666667
827,262.775,-77.01666666666667
828,262.75,-77.01666666666667
829,262.7375,-77.03333333333335
830,262.7125,-77.03333333333335
831,262.6875,-77.03333333333335
832,262.675,-77.03333333333335
833,262.65,-77.03333333333335
834,262.63750000000005,-77.03333333333335
835,262.625,-77.03333333333335
836,262.6125,-77.03333333333335
837,262.5875,-77.03333333333335
838,262.57500000000005,-77.05000000000001
839,262.5625,-77.05000000000001
840,262.55,-77.05000000000001
841,262.5375,-77.05000000000001
842,262.5375,-77.05000000000001
843,262.525,-77.05000000000001
844,262.51250000000005,-77.05000000000001
845,262.5,-77.05000000000001
846,262.5,-77.05000000000001
847,262.4875,-77.05000000000001
848,262.4875,-77.05000000000001
849,262.475,-77.05000000000001
850,262.475,-77.05000000000001
851,262.4625,-77.05000000000001
852,262.4625,-77.05000000000001
853,262.4625,-77.05000000000001
854,262.45000000000005,-77.05000000000001
855,262.45000000000005,-77.05000000000001
856,262.45000000000005,-77.05000000000001
857,262.45000000000005,-77.05000000000001
858,262.4375,-77.06666666666666
859,262.4375,-77.06666666666666
860,262.4375,-77.06666666666666
861,262.4375,-77.06666666666666
862,262.4375,-77.06666666666666
863,262.4375,-77.06666666666666
864,262.4375,-77.06666666666666
865,262.4375,-77.06666666666666
866,262.4375,-77.06666666666666
867,262.4375,-77.06666666666666
868,262.4375,-77.06666666666666
869,262.4375,-77.06666666666666
870,262.4375,-77.06666666666666
871,262.4375,-77.06666666666666
872,262.4375,-77.06666666666666
873,262.4375,-77.06666666666666
874,262.4375,-77.06666666666666
875,262.4375,-77.06666666666666
876,262.4375,-77.06666666666666
877,262.4375,-77.06666666666666
878,262.4375,-77.06666666666666
879,262.4375,-77.06666666666666
880,262.4375,-77.06666666666666
881,262.4375,-77.06666666666666
882,262.4375,-77.06666666666666
883,262.4375,-77.06666666666666
884,262.4375,-77.06666666666666
885,262.4375,-77.06666666666666
886,262.4375,-77.06666666666666
887,262.4375,-77.06666666666666
888,262.4375,-77.06666666666666
889,262.4375,-77.06666666666666
890,262.4375,-77.06666666666666
891,262.4375,-77.06666666666666
892,262.4375,-77.06666666666666
893,262.4375,-77.06666666666666
894,262.4375,-77.06666666666666
895,262.4375,-77.06666666666666
896,262.4375,-77.06666666666666
897,262.4375,-77.06666666666666
898,262.4375,-77.06666666666666
899,262.4375,-77.06666666666666
900,262.4375,-77.06666666666666
901,262.4375,-77.06666666666666
902,262.4375,-77.06666666666666
